date,Energy created (kW)
2022-10-18,9617586
2022-10-19,38040146
2022-10-20,34408994
2022-10-21,14237958
2022-10-22,30035610
2022-10-23,30404860
2022-10-24,89552052
2022-10-25,37672582
2022-10-26,33004245
2022-10-27,23416653
2022-10-28,25219342
2022-10-29,6988857
2022-10-30,6131701
2022-10-31,17768741
2022-11-01,108919385
2022-11-02,99829675
2022-11-03,80884452
2022-11-04,16843598
2022-11-05,52673439
2022-11-06,106965015
2022-11-07,103441470
2022-11-08,88923159
2022-11-09,85758774
2022-11-10,78516050
2022-11-11,58440750
2022-11-12,1592759
2022-11-13,9676725
2022-11-14,26931531
2022-11-15,46175748
2022-11-16,49849164
2022-11-17,107469643
2022-11-18,53995416
2022-11-19,50528612
2022-11-20,15220414
2022-11-21,30837118
2022-11-22,64356294
2022-11-23,69218356
2022-11-24,58941719
2022-11-25,36426468
2022-11-26,27297131
2022-11-27,54002216
2022-11-28,14794791
2022-11-29,2606496
2022-11-30,1369340
2022-12-01,4146212
2022-12-02,57832145
2022-12-03,63016503
2022-12-04,60676870
2022-12-05,31314100
2022-12-06,7216930
2022-12-07,16308729
2022-12-08,12517681
2022-12-09,6400083
2022-12-10,14062117
2022-12-11,9863628
2022-12-12,2984245
2022-12-13,4522965
2022-12-14,2290386
2022-12-15,17550202
2022-12-16,5498525
2022-12-17,35856494
2022-12-18,36712311
2022-12-19,106532678
2022-12-20,73801266
2022-12-21,38805317
2022-12-22,22399739
2022-12-23,24980033
2022-12-24,44827700
2022-12-25,14629057
2022-12-26,71726339
2022-12-27,76846359
2022-12-28,127731646
2022-12-29,123990342
2022-12-30,108013848
2022-12-31,105731450
