date,capacity (kW)
2020-01-01,7200581
2020-01-02,29174069
2020-01-03,44580618
2020-01-04,29836811
2020-01-05,14123075
2020-01-06,26929389
2020-01-07,36976669
2020-01-08,30532182
2020-01-09,47734955
2020-01-10,21566944
2020-01-11,50511607
2020-01-12,58032236
2020-01-13,40369593
2020-01-14,71772353
2020-01-15,59989105
2020-01-16,30970928
2020-01-17,42303380
2020-01-18,25752369
2020-01-19,10104563
2020-01-20,2469924
2020-01-21,8661496
2020-01-22,1660050
2020-01-23,550021
2020-01-24,9228299
2020-01-25,13624306
2020-01-26,19742527
2020-01-27,37975266
2020-01-28,58424393
2020-01-29,54562961
2020-01-30,61857263
2020-01-31,63791791
2020-02-01,67640498
2020-02-02,36206716
2020-02-03,52774546
2020-02-04,38226540
2020-02-05,2770819
2020-02-06,2223286
2020-02-07,16700446
2020-02-08,25406527
2020-02-09,56548064
2020-02-10,73024548
2020-02-11,74399083
2020-02-12,62467090
2020-02-13,35707409
2020-02-14,21681626
2020-02-15,63288816
2020-02-16,72656205
2020-02-17,71664858
2020-02-18,70804795
2020-02-19,52962269
2020-02-20,70259520
2020-02-21,64988646
2020-02-22,74316569
2020-02-23,53682358
2020-02-24,48146215
2020-02-25,55315193
2020-02-26,28286696
2020-02-27,17269405
2020-02-28,44359834
2020-02-29,74565175
2020-03-01,59925108
2020-03-02,17014372
2020-03-03,18759393
2020-03-04,10467630
2020-03-05,29505864
2020-03-06,34142552
2020-03-07,29160745
2020-03-08,59281021
2020-03-09,36249735
2020-03-10,74006754
2020-03-11,45624317
2020-03-12,74451886
2020-03-13,46525855
2020-03-14,26050541
2020-03-15,45874724
2020-03-16,2413676
2020-03-17,31581540
2020-03-18,34110717
2020-03-19,8618452
2020-03-20,33761205
2020-03-21,55822978
2020-03-22,51391597
2020-03-23,38385567
2020-03-24,19259448
2020-03-25,15162866
2020-03-26,28975015
2020-03-27,37291674
2020-03-28,54125569
2020-03-29,59549622
2020-03-30,17117290
2020-03-31,11596708
2020-04-01,5612506
2020-04-02,33505837
2020-04-03,13359502
2020-04-04,10206202
2020-04-05,29020419
2020-04-06,25565773
2020-04-07,6299718
2020-04-08,2102643
2020-04-09,8970758
2020-04-10,10175805
2020-04-11,3060727
2020-04-12,5856911
2020-04-13,61744732
2020-04-14,10634906
2020-04-15,2738158
2020-04-16,12820404
2020-04-17,28044623
2020-04-18,16756714
2020-04-19,45779786
2020-04-20,62173921
2020-04-21,64008353
2020-04-22,48885589
2020-04-23,6886279
2020-04-24,17750430
2020-04-25,9093034
2020-04-26,601730
2020-04-27,9043032
2020-04-28,17126774
2020-04-29,18008782
2020-04-30,44223076
2020-05-01,45874510
2020-05-02,27137791
2020-05-03,3814956
2020-05-04,21546682
2020-05-05,21619179
2020-05-06,7335151
2020-05-07,804935
2020-05-08,944037
2020-05-09,9143829
2020-05-10,40137944
2020-05-11,65290977
2020-05-12,13675214
2020-05-13,30628611
2020-05-14,18931312
2020-05-15,8479136
2020-05-16,20840701
2020-05-17,15426842
2020-05-18,21358240
2020-05-19,7422298
2020-05-20,1995323
2020-05-21,1819142
2020-05-22,38357766
2020-05-23,57753461
2020-05-24,40751042
2020-05-25,12784449
2020-05-26,2378029
2020-05-27,20404354
2020-05-28,25125275
2020-05-29,16789050
2020-05-30,20291962
2020-05-31,34248090
2020-06-01,18271462
2020-06-02,4657256
2020-06-03,18386380
2020-06-04,28734527
2020-06-05,33089160
2020-06-06,58588544
2020-06-07,37741336
2020-06-08,16630368
2020-06-09,5895625
2020-06-10,5765928
2020-06-11,12031800
2020-06-12,18762639
2020-06-13,4906141
2020-06-14,5483269
2020-06-15,2619102
2020-06-16,1433592
2020-06-17,8612848
2020-06-18,6919004
2020-06-19,9210376
2020-06-20,6461756
2020-06-21,20124668
2020-06-22,5388830
2020-06-23,2708990
2020-06-24,12818021
2020-06-25,18305422
2020-06-26,11501787
2020-06-27,24605627
2020-06-28,54648549
2020-06-29,62530890
2020-06-30,45635815
2020-07-01,34727155
2020-07-02,27043036
2020-07-03,42771417
2020-07-04,65347863
2020-07-05,71788653
2020-07-06,53599518
2020-07-07,17576946
2020-07-08,2405007
2020-07-09,28855698
2020-07-10,20434913
2020-07-11,8739573
2020-07-12,2252684
2020-07-13,2051903
2020-07-14,3428302
2020-07-15,3024714
2020-07-16,7656603
2020-07-17,723585
2020-07-18,4592558
2020-07-19,10570878
2020-07-20,11243106
2020-07-21,9914383
2020-07-22,2041993
2020-07-23,16555264
2020-07-24,11440865
2020-07-25,25682550
2020-07-26,36168435
2020-07-27,22302350
2020-07-28,42012390
2020-07-29,25038972
2020-07-30,2176759
2020-07-31,13428714
2020-08-01,13228739
2020-08-02,15491430
2020-08-03,3410837
2020-08-04,4572204
2020-08-05,22900414
2020-08-06,2234059
2020-08-07,1411435
2020-08-08,2700100
2020-08-09,15233998
2020-08-10,9475776
2020-08-11,12034869
2020-08-12,6106659
2020-08-13,4771210
2020-08-14,3359003
2020-08-15,1169656
2020-08-16,5756593
2020-08-17,2354532
2020-08-18,12751704
2020-08-19,12946721
2020-08-20,16390601
2020-08-21,43556625
2020-08-22,54910194
2020-08-23,41898239
2020-08-24,27435955
2020-08-25,42563577
2020-08-26,71412672
2020-08-27,8366354
2020-08-28,34203365
2020-08-29,26534518
2020-08-30,31923622
2020-08-31,5887537
2020-09-01,1211907
2020-09-02,565526
2020-09-03,38229249
2020-09-04,18000564
2020-09-05,22831625
2020-09-06,9108475
2020-09-07,16438542
2020-09-08,20228553
2020-09-09,22986853
2020-09-10,718653
2020-09-11,5093805
2020-09-12,22397732
2020-09-13,21950444
2020-09-14,1241267
2020-09-15,336405
2020-09-16,25417814
2020-09-17,28628354
2020-09-18,32690659
2020-09-19,22433281
2020-09-20,15710457
2020-09-21,1152651
2020-09-22,629337
2020-09-23,26689946
2020-09-24,49930930
2020-09-25,53192904
2020-09-26,25399592
2020-09-27,30997061
2020-09-28,6923007
2020-09-29,3631185
2020-09-30,12107058
2020-10-01,25725863
2020-10-02,39414053
2020-10-03,26474927
2020-10-04,51697044
2020-10-05,50792010
2020-10-06,47729204
2020-10-07,33479192
2020-10-08,49447718
2020-10-09,15189619
2020-10-10,26546216
2020-10-11,16487373
2020-10-12,5662242
2020-10-13,15028573
2020-10-14,26932119
2020-10-15,16026690
2020-10-16,2434523
2020-10-17,62955
2020-10-18,3168814
2020-10-19,7765306
2020-10-20,30052298
