date,capacity (kW)
2020-10-21,52965811
2020-10-22,42524461
2020-10-23,17891863
2020-10-24,57883600
2020-10-25,49363703
2020-10-26,47852085
2020-10-27,62138610
2020-10-28,55799223
2020-10-29,48518346
2020-10-30,61584683
2020-10-31,37116063
2020-11-01,57326728
2020-11-02,78655914
2020-11-03,50896635
2020-11-04,10371987
2020-11-05,3328471
2020-11-06,5597109
2020-11-07,1804453
2020-11-08,1533178
2020-11-09,1624226
2020-11-10,1889146
2020-11-11,9846403
2020-11-12,38114840
2020-11-13,21464342
2020-11-14,28837861
2020-11-15,69285481
2020-11-16,58009426
2020-11-17,64749266
2020-11-18,56818059
2020-11-19,50374260
2020-11-20,17149520
2020-11-21,67684401
2020-11-22,23491920
2020-11-23,12113440
2020-11-24,24378199
2020-11-25,19885859
2020-11-26,2599065
2020-11-27,2733631
2020-11-28,18942963
2020-11-29,7522299
2020-11-30,34846297
2020-12-01,38225248
2020-12-02,4510894
2020-12-03,44284811
2020-12-04,56171275
2020-12-05,6909298
2020-12-06,2276591
2020-12-07,21178934
2020-12-08,749550
2020-12-09,13265312
2020-12-10,12906998
2020-12-11,31166586
2020-12-12,4471610
2020-12-13,24001124
2020-12-14,46985826
2020-12-15,12790358
2020-12-16,18689477
2020-12-17,37555652
2020-12-18,47331832
2020-12-19,51433628
2020-12-20,34680710
2020-12-21,49212446
2020-12-22,37908959
2020-12-23,15606076
2020-12-24,31077756
2020-12-25,8575992
2020-12-26,60813262
2020-12-27,60349413
2020-12-28,7356204
2020-12-29,9177502
2020-12-30,21526870
2020-12-31,3479939
