"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2019-12-31 23:00:00","2020-01-01 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,217801,217803,0.068613633333333,0,0
"2020-01-01 00:00:00","2020-01-01 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,190180,190181,0.059911,0,0
"2020-01-01 01:00:00","2020-01-01 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,177353,177352,0.055868883333333,0,0
"2020-01-01 02:00:00","2020-01-01 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,195696,195697,0.061645916666667,0,0
"2020-01-01 03:00:00","2020-01-01 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,188773,188772,0.059463866666667,0,0
"2020-01-01 04:00:00","2020-01-01 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,192251,192253,0.06055815,0,0
"2020-01-01 05:00:00","2020-01-01 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,190960,190962,0.060150383333333,0,0
"2020-01-01 06:00:00","2020-01-01 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,200029,200030,0.0630056,0,0
"2020-01-01 07:00:00","2020-01-01 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,228484,228482,0.071966716666667,0,0
"2020-01-01 08:00:00","2020-01-01 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,203994,203994,0.0642519,0,0
"2020-01-01 09:00:00","2020-01-01 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,272723,272723,0.085897316666667,0,0
"2020-01-01 10:00:00","2020-01-01 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,301489,301487,0.094955666666667,0,0
"2020-01-01 11:00:00","2020-01-01 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,280447,280446,0.088326216666667,0,0
"2020-01-01 12:00:00","2020-01-01 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,225472,225473,0.071010516666667,0,0
"2020-01-01 13:00:00","2020-01-01 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,187709,187710,0.059116,0,0
"2020-01-01 14:00:00","2020-01-01 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,224519,224520,0.070707466666667,0,0
"2020-01-01 15:00:00","2020-01-01 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,261253,261255,0.082274116666667,0,0
"2020-01-01 16:00:00","2020-01-01 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,357668,357664,0.1126349,0,0
"2020-01-01 17:00:00","2020-01-01 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,365600,365602,0.11513033333333,0,0
"2020-01-01 18:00:00","2020-01-01 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,435821,435821,0.13724033333333,0,0
"2020-01-01 19:00:00","2020-01-01 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,496950,496947,0.15648666666667,0,0
"2020-01-01 20:00:00","2020-01-01 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,523827,523829,0.16494666666667,0,0
"2020-01-01 21:00:00","2020-01-01 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,484978,484979,0.15271016666667,0,0
"2020-01-01 22:00:00","2020-01-01 23:00:00",Nederland,Wind,Hour,UTC,Providing,Current,536312,536309,0.16887066666667,0,0
"2020-01-01 23:00:00","2020-01-02 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,478093,478092,0.15053616666667,0,0
"2020-01-02 00:00:00","2020-01-02 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,447377,447376,0.1408615,0,0
"2020-01-02 01:00:00","2020-01-02 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,457799,457803,0.14413966666667,0,0
"2020-01-02 02:00:00","2020-01-02 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,491949,491953,0.15488866666667,0,0
"2020-01-02 03:00:00","2020-01-02 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,613687,613686,0.1932135,0,0
"2020-01-02 04:00:00","2020-01-02 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,687059,687057,0.216309,0,0
"2020-01-02 05:00:00","2020-01-02 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,851161,851160,0.267968,0,0
"2020-01-02 06:00:00","2020-01-02 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,893595,893596,0.28132166666667,0,0
"2020-01-02 07:00:00","2020-01-02 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,964262,964258,0.30356266666667,0,0
"2020-01-02 08:00:00","2020-01-02 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,772982,772987,0.24334,0,0
"2020-01-02 09:00:00","2020-01-02 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,797335,797335,0.25100083333333,0,0
"2020-01-02 10:00:00","2020-01-02 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,941551,941551,0.29639383333333,0,0
