date,capacity (kW)
2019-01-01,47323840
2019-01-02,25681467
2019-01-03,3175099
2019-01-04,16393847
2019-01-05,40143387
2019-01-06,7347278
2019-01-07,33542963
2019-01-08,70038923
2019-01-09,38946965
2019-01-10,3222558
2019-01-11,21010681
2019-01-12,43721254
2019-01-13,60446424
2019-01-14,29893744
2019-01-15,43737301
2019-01-16,58394865
2019-01-17,32423107
2019-01-18,3913942
2019-01-19,8683682
2019-01-20,1331540
2019-01-21,3152008
2019-01-22,30909163
2019-01-23,5026678
2019-01-24,1277397
2019-01-25,20442477
2019-01-26,46014386
2019-01-27,50752148
2019-01-28,44284767
2019-01-29,17142059
2019-01-30,4033611
2019-01-31,11194763
2019-02-01,14797124
2019-02-02,6129004
2019-02-03,6332694
2019-02-04,53544966
2019-02-05,15839059
2019-02-06,26562846
2019-02-07,61532297
2019-02-08,66726123
2019-02-09,69934377
2019-02-10,35125428
2019-02-11,28852762
2019-02-12,16444446
2019-02-13,19970004
2019-02-14,3486411
2019-02-15,3262489
2019-02-16,8971079
2019-02-17,7971326
2019-02-18,6230104
2019-02-19,28973496
2019-02-20,21145105
2019-02-21,17023730
2019-02-22,1277664
2019-02-23,6154941
2019-02-24,259090
2019-02-25,368197
2019-02-26,61344
2019-02-27,1946557
2019-02-28,14784465
2019-03-01,13603639
2019-03-02,27191890
2019-03-03,67082131
2019-03-04,71940475
2019-03-05,46864576
2019-03-06,40978544
2019-03-07,60556855
2019-03-08,47850173
2019-03-09,63983263
2019-03-10,32158810
2019-03-11,54506463
2019-03-12,59369663
2019-03-13,70213489
2019-03-14,61876612
2019-03-15,54141884
2019-03-16,55621490
2019-03-17,57085250
2019-03-18,31744941
2019-03-19,2480980
2019-03-20,11456095
2019-03-21,7394593
2019-03-22,4275448
2019-03-23,7412317
2019-03-24,10188528
2019-03-25,56964604
2019-03-26,14651256
2019-03-27,4492105
2019-03-28,317673
2019-03-29,1084130
2019-03-30,2355743
2019-03-31,30996367
2019-04-01,18463276
2019-04-02,16901122
2019-04-03,8135879
2019-04-04,2813413
2019-04-05,5789256
2019-04-06,6852138
2019-04-07,11691113
2019-04-08,13345390
2019-04-09,41913371
2019-04-10,43384006
2019-04-11,21967127
2019-04-12,16273487
2019-04-13,17954967
2019-04-14,15934919
2019-04-15,28075883
2019-04-16,29383713
2019-04-17,8997908
2019-04-18,28741063
2019-04-19,16530307
2019-04-20,13187845
2019-04-21,5665177
2019-04-22,27752009
2019-04-23,41637048
2019-04-24,31295677
2019-04-25,28138733
2019-04-26,9907921
2019-04-27,36941606
2019-04-28,6342234
2019-04-29,10558989
2019-04-30,5969838
2019-05-01,2255485
2019-05-02,15992452
2019-05-03,14461838
2019-05-04,33450928
2019-05-05,24571331
2019-05-06,12394063
2019-05-07,2661153
2019-05-08,22474314
2019-05-09,15254407
2019-05-10,5060632
2019-05-11,23213874
2019-05-12,16419500
2019-05-13,10877823
2019-05-14,14217728
2019-05-15,14184867
2019-05-16,27712785
2019-05-17,12140907
2019-05-18,3422838
2019-05-19,17246744
2019-05-20,16183349
2019-05-21,34316108
2019-05-22,8963214
2019-05-23,10145254
2019-05-24,12368285
2019-05-25,2346030
2019-05-26,40406398
2019-05-27,24429283
2019-05-28,11524494
2019-05-29,7261949
2019-05-30,39833163
2019-05-31,20844372
2019-06-01,4332497
2019-06-02,18549611
2019-06-03,9629068
2019-06-04,14562727
2019-06-05,13519208
2019-06-06,21456616
2019-06-07,32474433
2019-06-08,67223856
2019-06-09,9605715
2019-06-10,18263953
2019-06-11,8872728
2019-06-12,10149664
2019-06-13,36219963
2019-06-14,7681689
2019-06-15,8113631
2019-06-16,13027064
2019-06-17,3832245
2019-06-18,3554358
