date,capacity (kW)
2019-06-19,6916176
2019-06-20,14871385
2019-06-21,10138699
2019-06-22,11020213
2019-06-23,10274117
2019-06-24,11286153
2019-06-25,5682557
2019-06-26,21837865
2019-06-27,22334098
2019-06-28,7829207
2019-06-29,3265782
2019-06-30,19515969
2019-07-01,27962952
2019-07-02,11804838
2019-07-03,15777795
2019-07-04,4643264
2019-07-05,9859740
2019-07-06,13615776
2019-07-07,12305720
2019-07-08,19337517
2019-07-09,7525104
2019-07-10,3390022
2019-07-11,4480026
2019-07-12,9086283
2019-07-13,15196902
2019-07-14,12357058
2019-07-15,7709277
2019-07-16,2483704
2019-07-17,135748
2019-07-18,13524992
2019-07-19,2784592
2019-07-20,21620539
2019-07-21,13443684
2019-07-22,19767749
2019-07-23,3323111
2019-07-24,7018872
2019-07-25,5821552
2019-07-26,25532739
2019-07-27,22634450
2019-07-28,13779310
2019-07-29,4870583
2019-07-30,12047977
2019-07-31,32600196
2019-08-01,19966195
2019-08-02,20569242
2019-08-03,4405766
2019-08-04,1074789
2019-08-05,21211350
2019-08-06,20229241
2019-08-07,35117590
2019-08-08,23181328
2019-08-09,18597759
2019-08-10,62945164
2019-08-11,42688638
2019-08-12,16097981
2019-08-13,12857478
2019-08-14,19289881
2019-08-15,38149023
2019-08-16,16132222
2019-08-17,33353747
2019-08-18,19776374
2019-08-19,39462639
2019-08-20,16115427
2019-08-21,2914244
2019-08-22,8001981
2019-08-23,1402012
2019-08-24,3155161
2019-08-25,901494
2019-08-26,3063621
2019-08-27,1125595
2019-08-28,7372457
2019-08-29,12513242
2019-08-30,8441555
2019-08-31,8164628
2019-09-01,12836339
2019-09-02,14252975
2019-09-03,24914312
2019-09-04,33125325
2019-09-05,36728486
2019-09-06,34539301
2019-09-07,10776601
2019-09-08,4704958
2019-09-09,1966596
2019-09-10,2949672
2019-09-11,30178305
2019-09-12,23248543
2019-09-13,12519409
2019-09-14,738799
2019-09-15,13233331
2019-09-16,2330563
2019-09-17,24341769
2019-09-18,8969554
2019-09-19,1080365
2019-09-20,3525844
2019-09-21,15391188
2019-09-22,12438256
2019-09-23,9146388
2019-09-24,22760824
2019-09-25,22626982
2019-09-26,33169757
2019-09-27,46634772
2019-09-28,53854683
2019-09-29,53547103
2019-09-30,38133416
2019-10-01,29957450
2019-10-02,23577045
2019-10-03,7496665
2019-10-04,22412869
2019-10-05,5224377
2019-10-06,37538207
2019-10-07,15742410
2019-10-08,32683260
2019-10-09,34963631
2019-10-10,44285967
2019-10-11,68584596
2019-10-12,11133962
2019-10-13,26760483
2019-10-14,10452667
2019-10-15,10238529
2019-10-16,25546475
2019-10-17,10463248
2019-10-18,46378821
2019-10-19,25898576
2019-10-20,2574188
2019-10-21,12985397
2019-10-22,3695209
2019-10-23,4496980
2019-10-24,21892408
2019-10-25,48470410
2019-10-26,67037262
2019-10-27,21522327
2019-10-28,3626469
2019-10-29,4061039
2019-10-30,8762569
2019-10-31,8096099
2019-11-01,15077880
2019-11-02,51657377
2019-11-03,12262275
2019-11-04,8908482
2019-11-05,2532231
2019-11-06,1334280
2019-11-07,22917834
2019-11-08,8897465
2019-11-09,29404308
2019-11-10,4465591
2019-11-11,40799163
2019-11-12,52190162
2019-11-13,28187361
2019-11-14,15607871
2019-11-15,23899436
2019-11-16,7936211
2019-11-17,3992678
2019-11-18,20233884
2019-11-19,9858307
2019-11-20,4294269
2019-11-21,13925125
2019-11-22,17091882
2019-11-23,30178785
2019-11-24,3885071
2019-11-25,5699074
2019-11-26,19405103
2019-11-27,38777576
2019-11-28,46102707
2019-11-29,11693907
2019-11-30,602982
2019-12-01,3660118
2019-12-02,6197165
2019-12-03,9856829
2019-12-04,4400948
2019-12-05,29179830
2019-12-06,72188008
2019-12-07,41681906
2019-12-08,70312048
2019-12-09,45376168
2019-12-10,43843792
2019-12-11,23778310
2019-12-12,41028318
2019-12-13,31168917
2019-12-14,53006984
2019-12-15,61709486
2019-12-16,17733158
2019-12-17,20494246
2019-12-18,15228069
2019-12-19,31293373
2019-12-20,51566709
2019-12-21,36821207
2019-12-22,24668015
2019-12-23,28269543
2019-12-24,32877986
2019-12-25,11459310
2019-12-26,7241854
2019-12-27,9133783
2019-12-28,2814695
2019-12-29,9716866
2019-12-30,26342407
2019-12-31,2653196
