date,capacity (kW)
2017-04-22,30238215
2017-04-23,14938475
2017-04-24,29594659
2017-04-25,30974082
2017-04-26,8425841
2017-04-27,14804847
2017-04-28,10276636
2017-04-29,3285169
2017-04-30,42825128
2017-05-01,16962574
2017-05-02,10857013
2017-05-03,18284423
2017-05-04,39802507
2017-05-05,21525533
2017-05-06,22806447
2017-05-07,17632336
2017-05-08,25443683
2017-05-09,5277732
2017-05-10,1652860
2017-05-11,12923744
2017-05-12,7782669
2017-05-13,7404154
2017-05-14,14915041
2017-05-15,7133370
2017-05-16,10351758
2017-05-17,8807904
2017-05-18,12081360
2017-05-19,30830274
2017-05-20,9918742
2017-05-21,3290297
2017-05-22,3538769
2017-05-23,17748851
2017-05-24,11269958
2017-05-25,4111458
2017-05-26,13934240
2017-05-27,19134498
2017-05-28,7217278
2017-05-29,9140591
2017-05-30,28307800
2017-05-31,8504605
2017-06-01,1256100
2017-06-02,2727704
2017-06-03,7983745
2017-06-04,18467828
2017-06-05,20942980
2017-06-06,54568307
2017-06-07,61111223
2017-06-08,26545520
2017-06-09,23576247
2017-06-10,10247210
2017-06-11,19774366
2017-06-12,42355756
2017-06-13,10804580
2017-06-14,3075217
2017-06-15,22066917
2017-06-16,29509379
2017-06-17,6723128
2017-06-18,815624
2017-06-19,1709738
2017-06-20,17468185
2017-06-21,7167963
2017-06-22,31563893
2017-06-23,34165415
2017-06-24,34304646
2017-06-25,26444942
2017-06-26,8607143
2017-06-27,15068332
2017-06-28,14907398
2017-06-29,6058509
2017-06-30,7890092
2017-07-01,20031102
2017-07-02,16856962
2017-07-03,27491634
2017-07-04,1635885
2017-07-05,3593819
2017-07-06,4182390
2017-07-07,8375638
2017-07-08,5802094
2017-07-09,1049514
2017-07-10,5306195
2017-07-11,14451390
2017-07-12,24641418
2017-07-13,665737
2017-07-14,18853402
2017-07-15,7446959
2017-07-16,10925477
2017-07-17,2391480
2017-07-18,14448123
2017-07-19,18467956
2017-07-20,15233978
2017-07-21,5902428
2017-07-22,8131967
2017-07-23,14825667
2017-07-24,5501269
2017-07-25,25056814
2017-07-26,8750721
2017-07-27,22588566
2017-07-28,38804930
2017-07-29,28156179
2017-07-30,30083532
2017-07-31,11072973
2017-08-01,2132743
2017-08-02,12744281
2017-08-03,46809502
2017-08-04,41781842
2017-08-05,11258029
2017-08-06,8561232
2017-08-07,7005013
2017-08-08,6116572
2017-08-09,19373268
2017-08-10,4826861
2017-08-11,4984878
2017-08-12,16282252
2017-08-13,1756890
2017-08-14,5552715
2017-08-15,1669479
2017-08-16,2171593
2017-08-17,19339865
2017-08-18,23374796
2017-08-19,34214234
2017-08-20,23651080
2017-08-21,1322354
2017-08-22,3762982
2017-08-23,10423456
2017-08-24,13070503
2017-08-25,918507
2017-08-26,1267936
2017-08-27,1033740
2017-08-28,228906
2017-08-29,3481096
2017-08-30,15178361
2017-08-31,10459080
2017-09-01,1089783
2017-09-02,1668940
2017-09-03,823090
2017-09-04,3804608
2017-09-05,12618252
2017-09-06,29700961
2017-09-07,18089962
2017-09-08,41376411
2017-09-09,6966139
2017-09-10,39135362
2017-09-11,61347674
2017-09-12,39206017
2017-09-13,55175238
2017-09-14,35265306
2017-09-15,14958279
2017-09-16,5299226
2017-09-17,1258254
2017-09-18,3517099
2017-09-19,2254230
2017-09-20,6924694
2017-09-21,7396793
2017-09-22,861044
2017-09-23,181344
2017-09-24,2686141
2017-09-25,4868549
2017-09-26,3049690
2017-09-27,5261596
2017-09-28,4197263
2017-09-29,7650320
2017-09-30,2023017
2017-10-01,31278813
2017-10-02,49780716
2017-10-03,28306334
2017-10-04,42239490
2017-10-05,53057513
2017-10-06,32983815
2017-10-07,37495782
2017-10-08,7925002
2017-10-09,4594417
2017-10-10,24776411
2017-10-11,55083631
2017-10-12,32073486
2017-10-13,24788526
2017-10-14,16517277
2017-10-15,9755311
2017-10-16,14190245
2017-10-17,14608479
2017-10-18,1911820
2017-10-19,8168341
2017-10-20,46520992
2017-10-21,35608982
2017-10-22,45698170
2017-10-23,26453461
2017-10-24,30319224
2017-10-25,27962027
2017-10-26,8363103
2017-10-27,23513942
2017-10-28,51521005
2017-10-29,51603330
2017-10-30,11765569
2017-10-31,12695491
2017-11-01,19031173
2017-11-02,5862430
2017-11-03,2752492
2017-11-04,16189561
2017-11-05,9831777
2017-11-06,2977587
2017-11-07,2051571
2017-11-08,816338
2017-11-09,15056653
2017-11-10,38494136
2017-11-11,16557412
2017-11-12,13165130
2017-11-13,17003580
2017-11-14,21082295
2017-11-15,6484419
2017-11-16,11878493
2017-11-17,3921367
2017-11-18,31927174
2017-11-19,31477804
2017-11-20,25333780
2017-11-21,32316838
2017-11-22,60589830
2017-11-23,54570748
2017-11-24,4923241
2017-11-25,10064841
2017-11-26,30983362
2017-11-27,46270198
2017-11-28,28334383
2017-11-29,2094510
2017-11-30,2462031
2017-12-01,1125933
2017-12-02,9319566
2017-12-03,14056584
2017-12-04,10639006
2017-12-05,19465876
2017-12-06,38670438
2017-12-07,59428326
2017-12-08,40988278
2017-12-09,36204664
2017-12-10,40708854
2017-12-11,32887719
2017-12-12,18661810
2017-12-13,54343731
2017-12-14,32987249
2017-12-15,7896888
2017-12-16,10535498
2017-12-17,15661753
2017-12-18,17337295
2017-12-19,2847796
2017-12-20,2287510
2017-12-21,2519000
2017-12-22,1897911
2017-12-23,44095084
2017-12-24,56690792
2017-12-25,58683909
2017-12-26,56140157
2017-12-27,34099291
2017-12-28,35097973
2017-12-29,42121234
2017-12-30,50733817
2017-12-31,45113407
