date,capacity (kW)
2017-01-01,32234925
2017-01-02,9910909
2017-01-03,40292054
2017-01-04,49113799
2017-01-05,5442367
2017-01-06,10165035
2017-01-07,20524795
2017-01-08,470941
2017-01-09,24915576
2017-01-10,11750815
2017-01-11,60412381
2017-01-12,38964452
2017-01-13,47817840
2017-01-14,34047052
2017-01-15,3200229
2017-01-16,630278
2017-01-17,613420
2017-01-18,627125
2017-01-19,437457
2017-01-20,1732082
2017-01-21,3885668
2017-01-22,61444
2017-01-23,2414028
2017-01-24,1285351
2017-01-25,3210001
2017-01-26,7313171
2017-01-27,10439703
2017-01-28,14637742
2017-01-29,23675386
2017-01-30,17234941
2017-01-31,3841295
2017-02-01,22442070
2017-02-02,21694384
2017-02-03,10996842
2017-02-04,7411872
2017-02-05,2528074
2017-02-06,3413354
2017-02-07,31482650
2017-02-08,35230507
2017-02-09,29807095
2017-02-10,20402507
2017-02-11,25056826
2017-02-12,43477105
2017-02-13,41608666
2017-02-14,16408056
2017-02-15,4558482
2017-02-16,17247156
2017-02-17,15948224
2017-02-18,4033041
2017-02-19,18902805
2017-02-20,43451963
2017-02-21,30964903
2017-02-22,59047374
2017-02-23,51400990
2017-02-24,26638352
2017-02-25,43547180
2017-02-26,55933463
2017-02-27,58160687
2017-02-28,51056080
2017-03-01,20207194
2017-03-02,45212073
2017-03-03,14407401
2017-03-04,8932408
2017-03-05,39257098
2017-03-06,4374289
2017-03-07,4058007
2017-03-08,26927998
2017-03-09,29316933
2017-03-10,2506469
2017-03-11,2475738
2017-03-12,10254024
2017-03-13,4707641
2017-03-14,20145909
2017-03-15,4082011
2017-03-16,10328424
2017-03-17,42669158
2017-03-18,38972215
2017-03-19,52756259
2017-03-20,54021742
2017-03-21,34736423
2017-03-22,12852855
2017-03-23,27301469
2017-03-24,29770604
2017-03-25,20536072
2017-03-26,10946773
2017-03-27,4207057
2017-03-28,9651738
2017-03-29,29659760
2017-03-30,17134975
2017-03-31,18899065
2017-04-01,2824592
2017-04-02,6872527
2017-04-03,93962
2017-04-04,1744246
2017-04-05,24494892
2017-04-06,15079702
2017-04-07,12855165
2017-04-08,263131
2017-04-09,3071469
2017-04-10,28155658
2017-04-11,20075438
2017-04-12,36666539
2017-04-13,24130998
2017-04-14,17743301
2017-04-15,41853281
2017-04-16,20845282
2017-04-17,27480446
2017-04-18,15361223
2017-04-19,4205190
2017-04-20,7889213
2017-04-21,23251719
