date,capacity (kW)
2018-08-19,27172615
2018-08-20,4654618
2018-08-21,1302880
2018-08-22,6012699
2018-08-23,18786285
2018-08-24,31794247
2018-08-25,19334598
2018-08-26,22879819
2018-08-27,36612608
2018-08-28,1310934
2018-08-29,5852020
2018-08-30,14527150
2018-08-31,1764365
2018-09-01,843504
2018-09-02,5217098
2018-09-03,5851017
2018-09-04,3629105
2018-09-05,3342363
2018-09-06,4022474
2018-09-07,28656691
2018-09-08,22444686
2018-09-09,15783310
2018-09-10,15300017
2018-09-11,41107052
2018-09-12,5738468
2018-09-13,1249604
2018-09-14,12816146
2018-09-15,12136989
2018-09-16,13200689
2018-09-17,6377680
2018-09-18,34093702
2018-09-19,35083000
2018-09-20,30851533
2018-09-21,62968786
2018-09-22,23470437
2018-09-23,8324259
2018-09-24,21299635
2018-09-25,853903
2018-09-26,22152429
2018-09-27,7990837
2018-09-28,17554777
2018-09-29,1668269
2018-09-30,6860812
2018-10-01,24850425
2018-10-02,34948576
2018-10-03,16012231
2018-10-04,11157198
2018-10-05,3408573
2018-10-06,9861751
2018-10-07,12805975
2018-10-08,10577329
2018-10-09,6143375
2018-10-10,9818441
2018-10-11,13103070
2018-10-12,25862906
2018-10-13,16518710
2018-10-14,13857963
2018-10-15,5691082
2018-10-16,1640191
2018-10-17,1468762
2018-10-18,8720380
2018-10-19,1746826
2018-10-20,2392319
2018-10-21,7332198
2018-10-22,16591543
2018-10-23,53904481
2018-10-24,35637364
2018-10-25,11945364
2018-10-26,29951177
2018-10-27,7089984
2018-10-28,25014855
2018-10-29,29942220
2018-10-30,37370331
2018-10-31,20585739
2018-11-01,15763976
2018-11-02,13913275
2018-11-03,5232857
2018-11-04,4350723
2018-11-05,5351095
2018-11-06,5961161
2018-11-07,29514437
2018-11-08,13443062
2018-11-09,12138814
2018-11-10,33827991
2018-11-11,35116550
2018-11-12,6375636
2018-11-13,36014156
2018-11-14,8988089
2018-11-15,3544179
2018-11-16,3472752
2018-11-17,21847508
2018-11-18,21765892
2018-11-19,53962537
2018-11-20,63046519
2018-11-21,22136869
2018-11-22,8790208
2018-11-23,5685761
2018-11-24,12719884
2018-11-25,12165610
2018-11-26,16083508
2018-11-27,9152096
2018-11-28,43900268
2018-11-29,50151324
2018-11-30,37098982
2018-12-01,37820690
2018-12-02,47089318
2018-12-03,44357125
2018-12-04,3512147
2018-12-05,16509977
2018-12-06,34148417
2018-12-07,59687653
2018-12-08,67970512
2018-12-09,57785518
2018-12-10,36102561
2018-12-11,6816542
2018-12-12,3745304
2018-12-13,19855435
2018-12-14,7095544
2018-12-15,30035398
2018-12-16,19362579
2018-12-17,17110652
2018-12-18,31303347
2018-12-19,27465113
2018-12-20,36153272
2018-12-21,53420786
2018-12-22,30805437
2018-12-23,10047334
2018-12-24,2339464
2018-12-25,11091279
2018-12-26,12180548
2018-12-27,3199031
2018-12-28,2515546
2018-12-29,40492421
2018-12-30,12737478
2018-12-31,10115262
