date,capacity (kW)
2018-01-01,41563719
2018-01-02,32574060
2018-01-03,66202711
2018-01-04,44640910
2018-01-05,28121911
2018-01-06,12120360
2018-01-07,50975503
2018-01-08,50151842
2018-01-09,14150704
2018-01-10,5827404
2018-01-11,504410
2018-01-12,507408
2018-01-13,8239557
2018-01-14,16619778
2018-01-15,53396255
2018-01-16,47661087
2018-01-17,50310808
2018-01-18,39400669
2018-01-19,18514474
2018-01-20,10012708
2018-01-21,8945730
2018-01-22,17671888
2018-01-23,38193869
2018-01-24,59471137
2018-01-25,26203340
2018-01-26,2124837
2018-01-27,34622782
2018-01-28,53634221
2018-01-29,57381733
2018-01-30,10291312
2018-01-31,46307375
2018-02-01,35988018
2018-02-02,20354556
2018-02-03,7584828
2018-02-04,31418331
2018-02-05,25697104
2018-02-06,10553098
2018-02-07,1503379
2018-02-08,7092529
2018-02-09,25813906
2018-02-10,20828099
2018-02-11,54608807
2018-02-12,26573314
2018-02-13,26073239
2018-02-14,35738120
2018-02-15,33319761
2018-02-16,10778829
2018-02-17,551989
2018-02-18,3088902
2018-02-19,3730784
2018-02-20,2283185
2018-02-21,4724137
2018-02-22,17014492
2018-02-23,30529990
2018-02-24,49933141
2018-02-25,41966745
2018-02-26,31701579
2018-02-27,13255977
2018-02-28,54986853
2018-03-01,70090718
2018-03-02,64889017
2018-03-03,37033964
2018-03-04,17953447
2018-03-05,24136456
2018-03-06,2752417
2018-03-07,3656052
2018-03-08,42002874
2018-03-09,10027942
2018-03-10,13863827
2018-03-11,9289746
2018-03-12,9751104
2018-03-13,21748983
2018-03-14,14685539
2018-03-15,47036608
2018-03-16,47072934
2018-03-17,70213154
2018-03-18,64470070
2018-03-19,41816394
2018-03-20,31176564
2018-03-21,9143484
2018-03-22,25560609
2018-03-23,23733175
2018-03-24,2794846
2018-03-25,3615357
2018-03-26,2195904
2018-03-27,10479130
2018-03-28,10339310
2018-03-29,11604950
2018-03-30,21479730
2018-03-31,3602892
2018-04-01,5623084
2018-04-02,16372465
2018-04-03,33650498
2018-04-04,18878443
2018-04-05,42224308
2018-04-06,27527138
2018-04-07,13342412
2018-04-08,1739248
2018-04-09,16269415
2018-04-10,11211998
2018-04-11,25249355
2018-04-12,23405784
2018-04-13,6119481
2018-04-14,3863599
2018-04-15,1540109
2018-04-16,13048721
2018-04-17,12803780
2018-04-18,2542319
2018-04-19,7820511
2018-04-20,5585891
2018-04-21,4671027
2018-04-22,12445851
2018-04-23,31191299
2018-04-24,37189213
2018-04-25,48394911
2018-04-26,44232839
2018-04-27,6850029
2018-04-28,14675199
2018-04-29,23012411
2018-04-30,34746795
2018-05-01,45285428
2018-05-02,31715049
2018-05-03,5912927
2018-05-04,3686694
2018-05-05,10614570
2018-05-06,7032948
2018-05-07,4952277
2018-05-08,5008789
2018-05-09,6198311
2018-05-10,15876136
2018-05-11,3385653
2018-05-12,6349802
2018-05-13,13781738
2018-05-14,18758587
2018-05-15,10518705
2018-05-16,36350173
2018-05-17,39839106
2018-05-18,13594462
2018-05-19,975344
2018-05-20,5441681
2018-05-21,19585907
2018-05-22,9624224
2018-05-23,15977303
2018-05-24,23486882
2018-05-25,7001229
2018-05-26,14217306
2018-05-27,17111592
2018-05-28,5429097
2018-05-29,13277557
2018-05-30,1607368
2018-05-31,3941223
2018-06-01,7445784
2018-06-02,8870149
2018-06-03,2254571
2018-06-04,6198404
2018-06-05,8382546
2018-06-06,6189451
2018-06-07,3206358
2018-06-08,4761642
2018-06-09,10257261
2018-06-10,12438511
2018-06-11,16089725
2018-06-12,13504831
2018-06-13,12900891
2018-06-14,27815706
2018-06-15,946238
2018-06-16,14520172
2018-06-17,29219499
2018-06-18,29584469
2018-06-19,10545154
2018-06-20,21731994
2018-06-21,47251920
2018-06-22,44775991
2018-06-23,14762146
2018-06-24,12210482
2018-06-25,10495560
2018-06-26,9993442
2018-06-27,9915667
2018-06-28,14312910
2018-06-29,15180861
2018-06-30,22601047
2018-07-01,34178247
2018-07-02,24925284
2018-07-03,15339152
2018-07-04,4107440
2018-07-05,4708219
2018-07-06,5559650
2018-07-07,5137322
2018-07-08,7620930
2018-07-09,14234519
2018-07-10,31991119
2018-07-11,14678754
2018-07-12,14158452
2018-07-13,5141016
2018-07-14,3647062
2018-07-15,2970328
2018-07-16,3341494
2018-07-17,18538202
2018-07-18,3166952
2018-07-19,5348653
2018-07-20,6582513
2018-07-21,8912615
2018-07-22,5947690
2018-07-23,957720
2018-07-24,3146969
2018-07-25,6512461
2018-07-26,4320003
2018-07-27,14412721
2018-07-28,24295456
2018-07-29,21417898
2018-07-30,10993710
2018-07-31,16044170
2018-08-01,1518102
2018-08-02,2640015
2018-08-03,3185469
2018-08-04,12291953
2018-08-05,5937771
2018-08-06,2522511
2018-08-07,3737453
2018-08-08,26561139
2018-08-09,19285046
2018-08-10,38770557
2018-08-11,21642765
2018-08-12,12986158
2018-08-13,9387531
2018-08-14,23393076
2018-08-15,15318203
2018-08-16,21160580
2018-08-17,4203421
2018-08-18,17769966
