year,number_of_days,average_daily_generation_kwh,median_daily_generation_kwh,minimum_daily_generation_kwh,maximum_daily_generation_kwh,average_change_from_previous_year_percent,median_change_from_previous_year_percent
2017,364,19074279.06043956,14926758.0,61444,61347674,,
2018,365,18934976.079452056,13857963.0,504410,70213154,-0.7303184594610546,-7.160262127918204
2019,365,20835172.86849315,15391188.0,61344,72188008,10.035379929014843,11.063855488717934
2020,366,26751255.576502733,21556813.0,62955,78655914,28.394689812993356,40.059448302496214
2021,365,27626477.528767124,21008735.0,24002,94841134,3.2717042000568908,-2.542481581113132
2022,365,35897759.471232876,27699815.0,11129,127731646,29.93969076894789,31.84903803108563
