date,avg_wind_speed_all_stations,avg_wind_speed_cubed,wind_direction_sin,wind_direction_cos,installed_wind_capacity_mw,predicted_wind_generation_kwh,Actual Energy created (kWh),error_kwh,absolute_error_kwh,percentage_error
2022-01-01,7.054416666666667,351.06159578303067,-0.5125071256943168,-0.8586829718310185,9000,31539108.943764113,52426429,-20887320.056235887,20887320.056235887,39.84120310051231
2022-01-02,9.18525,774.9486815159531,-0.7642787616342115,-0.6448860166842479,9000,57644064.45125009,90462445,-32818380.54874991,32818380.54874991,36.2784584793722
2022-01-03,9.257333333333332,793.3369927277038,-0.8468256455604821,-0.5318705914233958,9000,57728248.401493594,91356061,-33627812.598506406,33627812.598506406,36.80961310110164
2022-01-04,6.024500000000001,218.65681920612508,-0.9638557040068944,0.2664248146351498,9000,22685106.192982312,31857845,-9172738.807017688,9172738.807017688,28.7927159135142
2022-01-05,9.960083333333332,988.0727366075006,-0.848786715841927,0.5287353884603109,9000,67952440.01585083,82969962,-15017521.984149173,15017521.984149173,18.099950418380537
2022-01-06,5.6495,180.31424548737496,-0.8182450396146342,-0.574869598383882,9000,19216541.624915484,32129473,-12912931.375084516,12912931.375084516,40.19029934006236
2022-01-07,7.167833333333333,368.2677561173287,-0.8391906937275321,-0.5438372730524301,9000,32348901.017151833,68788528,-36439626.98284817,36439626.98284817,52.973407110627754
2022-01-08,7.288583333333333,387.19467046403184,-0.5252068141912176,-0.8509746190851475,9000,32364679.460865226,63670564,-31305884.539134774,31305884.539134774,49.168536561313914
2022-01-09,6.668583333333333,296.5519253311152,-0.9598341903185152,0.2805678654008692,9000,29306710.182495333,44554725,-15248014.817504667,15248014.817504667,34.223115096108586
2022-01-10,3.084166666666667,29.33685248900464,-0.1150165257719847,-0.9933635783535364,9000,2965137.775019006,2917080,48057.77501900587,48057.77501900587,1.6474616746543074
2022-01-11,4.769666666666667,108.50858168996297,-0.1816699378608267,-0.9833595647969482,9000,11969625.055281602,20457320,-8487694.944718398,8487694.944718398,41.489769650757765
2022-01-12,2.960166666666667,25.9387170466713,-0.971654800280482,-0.236404207009725,9000,3114544.2840339313,6631363,-3516818.7159660687,3516818.7159660687,53.0331202795876
2022-01-13,4.631083333333334,99.32253322772976,-0.9352060454600324,-0.3541040137233802,9000,12484850.046745028,25341023,-12856172.953254972,12856172.953254972,50.732651768853096
2022-01-14,2.898083333333333,24.340674453375573,-0.9993107935633252,0.0371205854996572,9000,2915495.0919700484,6350031,-3434535.9080299516,3434535.9080299516,54.08691560765533
2022-01-15,3.2825,35.36830151562499,0.1305569209285157,-0.9914408153781372,9000,3812578.4358517188,11145094,-7332515.564148281,7332515.564148281,65.79141965198572
2022-01-16,5.90875,206.29411832617183,-0.9999855533060524,-0.005375237593663,9000,23159343.17791513,35472164,-12312820.82208487,12312820.82208487,34.71121982319678
2022-01-17,5.735166666666667,188.64188596542132,-0.833553070237567,0.5524393895238877,9000,19790153.452146623,41698971,-21908817.547853377,21908817.547853377,52.540427311391866
2022-01-18,3.1001666666666665,29.79580525833796,-0.8371480913435004,-0.5469763003640417,9000,3253054.172764755,8452938,-5199883.827235245,5199883.827235245,61.51569817778441
2022-01-19,6.277416666666666,247.36763011359315,-0.9999232568833432,0.0123887184086048,9000,25962900.60474482,42145583,-16182682.395255178,16182682.395255178,38.397101768067074
2022-01-20,8.939166666666667,714.3171936244214,-0.3641060815201931,0.9313574831395356,9000,58207998.72809648,66424980,-8216981.271903522,8216981.271903522,12.370318021779642
