date,avg_wind_speed_all_stations,station_count,vector_avg_wind_speed_all_stations,avg_wind_direction,avg_wind_speed_cubed,wind_direction_sin,wind_direction_cos,daily_wind_generation_kwh
2017-01-01,7.76,5,6.0945077381307495,211.11422207917443,467.288576,-0.5167458573723747,-0.8561388432307516,32234925
2017-01-02,6.959999999999999,5,6.090435706811654,333.8694725940488,337.15353599999986,-0.4404175798446741,0.8977930470680646,9910909
2017-01-03,9.74,5,9.439572461890702,273.3294688570595,924.0104240000001,-0.9983120777433256,0.05807749505448843,40292054
2017-01-04,11.16,5,10.595581364915066,327.2571004712049,1389.9288960000001,-0.5408702401080125,0.8411060476334128,49113799
2017-01-05,5.12,5,3.409257900377956,55.07761455119078,134.21772800000002,0.8199282760124126,0.5724662629319854,5442367
2017-01-06,5.66,5,5.393513957275599,176.22242280300975,181.32149600000002,0.06588340399400248,-0.9978273282878972,10165035
2017-01-07,6.36,5,3.9468290593549438,225.84970580285716,257.25945600000006,-0.7175151493822071,-0.6965428991864242,20524795
2017-01-08,2.7399999999999998,5,1.4601162140007122,302.7754809266806,20.570823999999995,-0.8407983443524223,0.5413484498308142,470941
2017-01-09,7.06,5,6.726682242728648,192.94953505713352,351.89581599999997,-0.22409276210878853,-0.9745678190718458,24915576
2017-01-10,5.18,5,4.306504901518215,244.33212947826678,138.991832,-0.9013200605498957,-0.4331537238098415,11750815
2017-01-11,12.48,5,10.673964403779337,262.87912666211713,1943.7649920000001,-0.9922868429698887,-0.12396298346220704,60412381
2017-01-12,9.18,5,6.229704435563153,256.51889625094344,773.6206319999999,-0.972446858214412,-0.23312466182049288,38964452
2017-01-13,12.16,5,10.739317743141303,312.1640796070036,1798.0456960000001,-0.7412255718784487,0.671256025368463,47817840
2017-01-14,10.1,5,9.438572269062488,320.42489749654226,1030.301,-0.6370891082178881,0.7707901583376218,34047052
2017-01-15,3.7,5,2.2610265210013267,324.34222156779146,50.653000000000006,-0.5829426242556834,0.8125133210144293,3200229
2017-01-16,3.04,5,2.2101911971803845,80.25388046501763,28.094464000000002,0.985567526313129,0.16928275481282692,630278
2017-01-17,2.9,5,2.24201154549093,129.63825465487162,24.389,0.77008748239428,-0.6379382959657144,613420
2017-01-18,2.7600000000000002,5,1.8942927547203094,130.92503417107378,21.024576000000007,0.7555673219683884,-0.6550710052914247,627125
2017-01-19,2.7199999999999998,5,1.7007538717473147,91.47963579768282,20.123647999999996,0.9996665657077403,-0.025821646076347075,437457
2017-01-20,3.7,5,3.301500384649257,76.87821322212756,50.653000000000006,0.9738897124791803,0.22702164638469943,1732082
2017-01-21,4.42,5,4.027988494882923,95.81856386894617,86.350888,0.9948479143053982,-0.10137863385447207,3885668
2017-01-22,2.32,5,0.6544015328165987,195.35215321550206,12.487167999999997,-0.26475092441040815,-0.9643168296902395,61444
2017-01-23,3.3200000000000003,5,2.5884043202651785,225.117128916682,36.59436800000001,-0.7085508306041859,-0.7056597766984585,2414028
2017-01-24,3.28,5,1.2846822041821093,190.544591178485,35.28755199999999,-0.18300070102351035,-0.9831127826576683,1285351
2017-01-25,3.9799999999999995,5,3.4440804874977373,132.83061914913162,63.04479199999998,0.7333666629402477,-0.6798333161061505,3210001
2017-01-26,5.1,5,4.882718981088114,133.3950742721878,132.65099999999998,0.7266337373148893,-0.6870250445186088,7313171
2017-01-27,5.9,5,5.63808804023041,140.67058021744668,205.37900000000005,0.6337781344484665,-0.7735148843396755,10439703
2017-01-28,6.6,5,6.113425935969393,171.93246825937217,287.496,0.1403401846897672,-0.9901033443844345,14637742
2017-01-29,7.3,5,6.92605063332015,190.338355497205,389.017,-0.1794608168813343,-0.9837651219698146,23675386
