date,Random Forest,avg_wind_speed_all_stations,vector_avg_wind_speed_all_stations,avg_wind_direction,avg_wind_speed_cubed
time,continuous,continuous,continuous,continuous,continuous
meta,meta,,,,
2022-04-04,5.12401e+07,9.64033,9.06562,250.943,895.934
2022-04-05,2.12248e+07,6.73308,6.42458,263.297,305.24
2022-04-06,5.79474e+07,10.5647,10.5028,230.646,1179.15
2022-04-07,5.93914e+07,12.3748,11.3213,252.583,1895.04
2022-04-08,1.75697e+07,6.694,6.13753,298.933,299.956
2022-04-09,2.66239e+07,7.72158,7.57039,301.513,460.383
2022-04-10,3.68508e+06,3.62425,2.68722,286.207,47.6052
2022-04-11,8.48016e+06,4.59275,4.30826,108.925,96.8765
2022-04-12,8.86244e+06,4.713,3.71382,140.282,104.687
2022-04-13,3.76676e+06,3.8925,3.81503,235.946,58.9774
2022-04-14,2.26582e+06,2.9995,2.28779,291.712,26.9865
2022-04-15,3.49323e+06,3.234,3.03082,45.3496,33.8236
2022-04-16,6.6022e+06,4.15417,4.03017,96.5784,71.6889
2022-04-17,5.14958e+06,4.1045,4.01334,128.992,69.1482
2022-04-18,2.7331e+06,3.42158,1.69631,154.427,40.0573
2022-04-19,7.18457e+06,4.156,3.62801,58.4505,71.7838
2022-04-20,9.62362e+06,5.1185,5.01662,64.5259,134.1
2022-04-21,1.41467e+07,5.42058,5.29267,63.1378,159.272
2022-04-22,2.64535e+07,6.82208,6.74554,69.0354,317.505
2022-04-23,3.31134e+07,7.55983,7.47221,75.5875,432.053
2022-04-24,2.5121e+07,7.07533,6.79911,42.6778,354.194
2022-04-25,1.64682e+07,5.80633,5.64411,38.6791,195.752
2022-04-26,1.04422e+07,5.31558,5.04507,6.02546,150.194
2022-04-27,2.37773e+06,2.99967,2.48752,5.96695,26.991
2022-04-28,7.47851e+06,4.08458,3.92902,38.0675,68.1465
2022-04-29,9.85475e+06,4.88667,4.72675,34.4681,116.691
2022-04-30,6.57717e+06,3.99933,3.76131,357.054,63.968
2022-05-01,565507,2.01617,0.997525,31.1066,8.19557
2022-05-02,2.54434e+06,3.13333,2.47597,12.0503,30.7624
2022-05-03,5.47937e+06,3.82983,3.72538,10.4105,56.1746
2022-05-04,893516,1.74333,0.516004,326.173,5.29836
2022-05-05,1.25963e+06,2.47258,1.26194,268.577,15.1166
2022-05-06,3.45706e+06,3.23,2.95464,244.833,33.6983
2022-05-07,7.67579e+06,4.15683,3.03615,356.674,71.827
2022-05-08,9.64782e+06,4.64075,4.48249,31.8993,99.9458
2022-05-09,1.06567e+06,2.47967,0.910967,121.32,15.2468
2022-05-10,1.61803e+07,6.35517,5.8143,222.251,256.673
2022-05-11,2.68851e+07,7.35925,6.93444,238.975,398.566
2022-05-12,1.53401e+07,5.60883,5.43347,252.557,176.448
2022-05-13,2.70175e+07,7.3515,7.21026,246.069,397.309
2022-05-14,2.28224e+06,3.10825,1.90475,289.729,30.0295
2022-05-15,9.04464e+06,4.79292,4.61104,83.8927,110.103
2022-05-16,1.23486e+07,5.56492,3.22383,211.064,172.336
2022-05-17,3.24242e+06,2.87933,0.503348,212.935,23.8713
2022-05-18,3.37273e+06,3.65358,0.511433,255.938,48.7705
2022-05-19,5.51731e+06,4.17092,1.6005,230.326,72.5595
2022-05-20,5.73069e+06,4.25042,1.70005,249.728,76.7882
2022-05-21,1.48666e+07,5.742,5.44474,263.273,189.317
2022-05-22,644220,2.4155,1.06859,140.556,14.0936
2022-05-23,6.42652e+06,4.10075,0.806966,252.689,68.9588
2022-05-24,1.99684e+07,6.462,6.22979,244.651,269.837
