date,avg_wind_speed_all_stations,station_count,hourly_record_count,vector_avg_wind_speed_all_stations,avg_wind_direction,avg_wind_speed_cubed,wind_direction_sin,wind_direction_cos
2022-01-01,7.054416666666667,5,120,6.853206155515188,210.8309728938767,351.06159578303067,-0.5125071256943168,-0.8586829718310185
2022-01-02,9.18525,5,120,8.866368560031818,229.84287006961347,774.9486815159531,-0.7642787616342115,-0.6448860166842479
2022-01-03,9.257333333333333,5,120,9.197526269472197,237.86806950831044,793.3369927277038,-0.8468256455604821,-0.5318705914233958
2022-01-04,6.024500000000001,5,120,4.61158263466289,285.4516327169231,218.65681920612508,-0.9638557040068945,0.2664248146351498
2022-01-05,9.960083333333333,5,120,9.403963822087048,301.92004987902334,988.0727366075006,-0.848786715841927,0.5287353884603109
2022-01-06,5.6495,5,120,3.4427105784484877,234.90949939751113,180.31424548737496,-0.8182450396146342,-0.574869598383882
2022-01-07,7.167833333333333,5,120,6.375776151664587,237.0547572963079,368.2677561173287,-0.8391906937275321,-0.5438372730524301
2022-01-08,7.288583333333333,5,120,5.081762020796466,211.68216692599205,387.19467046403184,-0.5252068141912176,-0.8509746190851475
2022-01-09,6.668583333333333,5,120,6.401515059265101,286.2940996040446,296.55192533111517,-0.9598341903185152,0.2805678654008692
2022-01-10,3.084166666666667,5,120,2.9485370420574957,186.60457823052622,29.336852489004638,-0.11501652577198473,-0.9933635783535364
2022-01-11,4.769666666666667,5,120,4.565750303926185,190.4670440914765,108.50858168996297,-0.1816699378608267,-0.9833595647969482
2022-01-12,2.960166666666667,5,120,2.018899501036382,256.32558956967495,25.9387170466713,-0.9716548002804819,-0.23640420700972506
2022-01-13,4.631083333333334,5,120,4.460300160317237,249.2614585523051,99.32253322772976,-0.9352060454600324,-0.3541040137233802
2022-01-14,2.898083333333333,5,120,2.1978062095786517,272.12734163049237,24.340674453375573,-0.9993107935633252,0.037120585499657285
2022-01-15,3.2824999999999998,5,120,2.93809691661585,172.4982241787054,35.36830151562499,0.13055692092851579,-0.9914408153781371
